2026-05-21 15:50:55.040 DEBUG sta_nld2:19 - ShortCircuit_NoLoadTestBay2SingleStateTestRun : Entry
2026-05-21 15:50:55.040 DEBUG sta_nld2:26 - ShortCircuit_NoLoadTestBay2SingleStateTestRun : singleStateTestRun : Entry
2026-05-21 15:50:55.040 DEBUG sta_nld2:23 - SclNltBay2Context: processPresentState: Entry
2026-05-21 15:50:55.041 INFO  sta_nld2:45 - S045_Select_Run_Project : Entry
2026-05-21 15:50:57.046 INFO  sta_nld2:153 - S045_Select_Run_Project : getMeterSerialNumberWithPalletMap : Entry
2026-05-21 15:50:57.061 INFO  sta_nld2:174 - Enough pallets (4) found. Proceeding with meter mapping.
2026-05-21 15:50:57.106 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=1 => palletIndex=3, configPalletRackPos=1 => Serial=SlNo-31, PalletID=20260521T155014_0016_LSCSM06P06, PalletRackPosition=1
2026-05-21 15:50:57.119 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=2 => palletIndex=3, configPalletRackPos=2 => Serial=SlNo-32, PalletID=20260521T155014_0016_LSCSM06P06, PalletRackPosition=2
2026-05-21 15:50:57.132 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=3 => palletIndex=3, configPalletRackPos=3 => Serial=SlNo-33, PalletID=20260521T155014_0016_LSCSM06P06, PalletRackPosition=3
2026-05-21 15:50:57.145 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=4 => palletIndex=3, configPalletRackPos=4 => Serial=SlNo-34, PalletID=20260521T155014_0016_LSCSM06P06, PalletRackPosition=4
2026-05-21 15:50:57.157 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=5 => palletIndex=3, configPalletRackPos=5 => Serial=SlNo-35, PalletID=20260521T155014_0016_LSCSM06P06, PalletRackPosition=5
2026-05-21 15:50:57.174 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=6 => palletIndex=3, configPalletRackPos=6 => Serial=SlNo-36, PalletID=20260521T155014_0016_LSCSM06P06, PalletRackPosition=6
2026-05-21 15:50:57.186 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=7 => palletIndex=2, configPalletRackPos=1 => Serial=SlNo-31, PalletID=20260521T154954_0015_LSCSM06P05, PalletRackPosition=1
2026-05-21 15:50:57.199 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=8 => palletIndex=2, configPalletRackPos=2 => Serial=SlNo-32, PalletID=20260521T154954_0015_LSCSM06P05, PalletRackPosition=2
2026-05-21 15:50:57.221 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=9 => palletIndex=2, configPalletRackPos=3 => Serial=SlNo-33, PalletID=20260521T154954_0015_LSCSM06P05, PalletRackPosition=3
2026-05-21 15:50:57.233 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=10 => palletIndex=2, configPalletRackPos=4 => Serial=SlNo-34, PalletID=20260521T154954_0015_LSCSM06P05, PalletRackPosition=4
2026-05-21 15:50:57.260 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=11 => palletIndex=2, configPalletRackPos=5 => Serial=SlNo-35, PalletID=20260521T154954_0015_LSCSM06P05, PalletRackPosition=5
2026-05-21 15:50:57.273 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=12 => palletIndex=2, configPalletRackPos=6 => Serial=SlNo-36, PalletID=20260521T154954_0015_LSCSM06P05, PalletRackPosition=6
2026-05-21 15:50:57.286 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=13 => palletIndex=1, configPalletRackPos=1 => Serial=SlNo-31, PalletID=20260521T154943_0014_LSCSM06P04, PalletRackPosition=1
2026-05-21 15:50:57.299 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=14 => palletIndex=1, configPalletRackPos=2 => Serial=SlNo-32, PalletID=20260521T154943_0014_LSCSM06P04, PalletRackPosition=2
2026-05-21 15:50:57.312 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=15 => palletIndex=1, configPalletRackPos=3 => Serial=SlNo-33, PalletID=20260521T154943_0014_LSCSM06P04, PalletRackPosition=3
2026-05-21 15:50:57.324 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=16 => palletIndex=1, configPalletRackPos=4 => Serial=SlNo-34, PalletID=20260521T154943_0014_LSCSM06P04, PalletRackPosition=4
2026-05-21 15:50:57.337 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=17 => palletIndex=1, configPalletRackPos=5 => Serial=SlNo-35, PalletID=20260521T154943_0014_LSCSM06P04, PalletRackPosition=5
2026-05-21 15:50:57.350 INFO  sta_nld2:218 - getMeterSerialNumberWithPalletMap: Mapped globalPos=18 => palletIndex=1, configPalletRackPos=6 => Serial=SlNo-36, PalletID=20260521T154943_0014_LSCSM06P04, PalletRackPosition=6
